Agrupamento,Grupo,Tipo,CNPJ,Razão Social,E-Mail,Município,UF,Nível,Tipo de Empresa,Tipos de Atividades,Situação
AC,Empresa,Empresa Especializada,18783532000108,C12 SEGURANCA  E PROTECAO EIRELI,C12SEG@OUTLOOK.COM,RIO BRANCO,AC,Matriz,EIRELI,Vigilância Patrimonial,Ativa
AC,Empresa,Empresa Especializada,4874832000198,CENTRO ACREANO DE FORMAÇÃO DE VIGILANTES CAFV LTDA,CURSODEVIGILANTE@UOL.COM.BR,RIO BRANCO,AC,Matriz,LTDA,Curso de Formação,Ativa
AC,Empresa,Empresa Especializada,8262397000100,"CENTRO AVANÇADO DE FORMAÇÃO E ESPECIALIZAÇÃO EM SEGURANÇA, PROTEÇÃO E VIGILANCIA LTDA",CAFESSEGURANCA@GMAIL.COM,RIO BRANCO,AC,Matriz,LTDA,Curso de Formação,Ativa
AC,Empresa,Empresa Especializada,9228233000110,ESTAÇÃO VIP SEGURANÇA PRIVADA EIRELI,FERREIRA.N@VIPSEG.NET.BR,RIO BRANCO,AC,Matriz,EIRELI,Vigilância Patrimonial/Transporte de Valores/Escolta Armada/Segurança Pessoal,Ativa
AC,Empresa,Empresa Especializada,2764609000162,GOLD SERVICE VIGILANCIA E SEGURANÇA EIRELI,GOLDSERVICEAC@HOTMAIL.COM,RIO BRANCO,AC,Matriz,Individual,Vigilância Patrimonial,Ativa
AC,Empresa,Empresa Especializada,7134755000128,INVIACRE SEGURANÇA LTDA EIRELI-EPP,SEGURCZS_@HOTMAIL.COM,CRUZEIRO DO SUL,AC,Matriz,LTDA,Vigilância Patrimonial,Ativa
AC,Empresa,Empresa Especializada,,INVIACRE SEGURANÇA LTDA EIRELI-EPP,,RIO BRANCO,AC,Outra Instalação,LTDA,Vigilância Patrimonial,Ativa
AC,Empresa,Empresa Especializada,17428731012222,PROSEGUR BRASIL S/A TRANSPORTADORA DE VALORES E SEGURANÇA,FABIANO.BO@PROSEGUR.COM,RIO BRANCO,AC,1a Filial na UF,S/A de Capital Fechado,Vigilância Patrimonial/Transporte de Valores,Ativa
AC,Empresa,Empresa Especializada,43035146005497,PROTEGE S.A - PROTECAO E TRANSPORTE DE VALORES,MOISES.RIBEIRO@PROTEGE.COM.BR,RIO BRANCO,AC,1a Filial na UF,S/A de Capital Fechado,Vigilância Patrimonial/Transporte de Valores/Escolta Armada,Ativa
AC,Empresa,Empresa Especializada,43035146005578,PROTEGE S.A - PROTECAO E TRANSPORTE DE VALORES,MOISES.RIBEIRO@PROTEGE.COM.BR,CRUZEIRO DO SUL,AC,Filial,S/A de Capital Fechado,Vigilância Patrimonial/Transporte de Valores/Escolta Armada,Ativa
AC,Empresa,Empresa Especializada,12147315000145,S. DO MONTE CHAVES CURSO DE FORMAÇÃO - ME,SAMYADOMONTE@HOTMAIL.COM,RIO BRANCO,AC,Matriz,Individual,Curso de Formação,Ativa
AC,Empresa,Empresa Especializada,25278459002479,SEGURPRO VIGILÂNCIA PATRIMONIAL S.A.,ELPIDIO.SOUZA@PROSEGUR.COM,RIO BRANCO,AC,1a Filial na UF,S/A de Capital Fechado,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
